"month","sarima_point","sarima_lo95","sarima_hi95","hw_point","hw_lo95","hw_hi95","ets_point","ets_lo95","ets_hi95","stlf_point","stlf_lo95","stlf_hi95"
2026-03-01,3169.69219890714,3099.33398571561,3240.05041209866,3166.13839414285,3065.52684967649,3266.7499386092,3178.62421480268,3096.02856319769,3261.21986640767,3174.22375069353,3097.05043306055,3251.39706832651
2026-04-01,3190.77737458088,3073.61311915804,3307.94163000372,3183.13855626452,3046.63222781177,3319.64488471727,3198.2535005171,3079.90561413337,3316.60138690084,3186.15959674537,3075.4089936572,3296.91019983354
2026-05-01,3179.40042256565,3025.28238110199,3333.51846402931,3227.89941410187,3061.90360332222,3393.89522488152,3217.88278623153,3071.03816507695,3364.72740738611,3229.5491605876,3091.92132669739,3367.1769944778
2026-06-01,3187.83347227804,3017.71382968356,3357.95311487253,3247.12964341162,3055.05103783845,3439.20824898479,3237.51207194596,3065.74816470528,3409.27597918664,3247.64468148255,3086.42061917956,3408.86874378553
2026-07-01,3196.26652199044,3011.52612335398,3381.0069206269,3272.66205571238,3056.64739035823,3488.67672106654,3257.14135766039,3062.6313323864,3451.65138293437,3284.90207024382,3102.05969966978,3467.74444081785
2026-08-01,3204.69957170284,3006.41357375987,3402.9855696458,3284.01568871495,3045.54418652529,3522.48719090461,3276.77064337482,3060.9774331446,3492.56385360503,3313.37692848202,3110.23627062022,3516.51758634381
2026-09-01,3213.13262141523,3002.16897745704,3424.09626537342,3321.50832746841,3061.65689064862,3581.3597642882,3296.39992908924,3060.37036464098,3532.42949353751,3340.51717632634,3118.01350210076,3563.02085055193
2026-10-01,3221.56567112763,2998.6442025249,3444.48713973036,3356.22330531419,3075.80525203834,3636.64135859004,3316.02921480367,3060.54276979427,3571.51565981307,3347.99212547829,3106.81395366446,3589.17029729213
2026-11-01,3229.99872084002,2995.72899753827,3464.26844414177,3376.84261513011,3076.4881297524,3677.19710050783,3335.6585005181,3061.31154688803,3610.00545414817,3356.06417657785,3096.73136530342,3615.39698785228
2026-12-01,3238.43177055242,2993.33867528501,3483.52486581983,3400.88614882149,3081.09249747645,3720.67980016653,3355.28778623253,3062.54528170638,3648.03029075868,3382.65283652893,3105.5644427694,3659.74123028847
2027-01-01,3246.86482026481,2991.40651165137,3502.32312887826,3396.13070358228,3057.29536652598,3734.96604063858,3374.91707194696,3064.14620930231,3685.6879345916,3398.43525991667,3103.90066602672,3692.96985380662
2027-02-01,3255.29786997721,2989.87882482121,3520.71691513321,3392.50076414194,3034.94426671573,3750.05726156815,3394.54635766138,3066.03950412711,3723.05321119566,3407.64908306105,3095.90919515965,3719.38897096246
2027-03-01,3263.73091968961,2988.71166286674,3538.75017651247,3399.63915828479,3020.22451653502,3779.05380003455,3414.17564337581,3068.16656586275,3760.18472088888,3422.87899623033,3094.12122268107,3751.63676977959
2027-04-01,3272.163969402,2987.86850036445,3556.45943843955,3416.63932040646,3019.13046800377,3814.14817280916,3433.80492909024,3070.48062176799,3797.12923641249,3434.81484228217,3089.18400098033,3780.44568358402
2027-05-01,3280.5970191144,2987.31859200602,3573.87544622277,3461.40017824381,3045.95366876577,3876.84668772185,3453.43421480467,3072.94374049137,3833.92468911797,3478.2044061244,3115.81086912507,3840.59794312373
2027-06-01,3289.03006882679,2987.03576772321,3591.02436993038,3480.63040755356,3047.37225443484,3913.88856067228,3473.0635005191,3075.52474204104,3870.60225899715,3496.29992701935,3117.22583287824,3875.37402116046
2027-07-01,3297.46311853919,2986.99753269927,3607.92870437911,3506.16281985432,3055.19344602682,3957.13219368183,3492.69278623352,3078.19769681332,3907.18787565373,3533.55731578062,3137.86139514293,3929.25323641831
2027-08-01,3305.89616825159,2987.18438296148,3624.60795354169,3517.51645285689,3048.91463652465,3986.11826918913,3512.32207194795,3080.94082346622,3943.70332042968,3562.03217401882,3149.7535576435,3974.31079039415
2027-09-01,3314.32921796398,2987.57927661022,3641.07915931774,3555.00909161035,3068.83515253593,4041.18303068478,3531.95135766238,3083.73566385885,3980.16705146591,3589.17242186315,3160.33368741595,4018.01115631034
2027-10-01,3322.76226767638,2988.16721949639,3657.35731585636,3589.72406945613,3086.02247148469,4093.42566742757,3551.58064337681,3086.56645482042,4016.5948319332,3596.6473710151,3151.25701063971,4042.03773139048
2027-11-01,3331.19531738877,2988.93493645279,3673.45569832476,3610.34337927205,3089.14487780243,4131.54188074168,3571.20992909124,3089.41964253751,4053.00021564496,3604.71942211465,3142.77386259523,4066.66498163408
2027-12-01,3339.62836710117,2989.87060742981,3689.38612677252,3634.38691296343,3095.71034319865,4173.06348272821,3590.83921480566,3092.28350210849,4089.39492750284,3631.30808206574,3152.79335473154,4109.82280939993
2028-01-01,3348.06141681356,2990.96365352988,3705.15918009724,3629.63146772422,3073.4852461153,4185.77768933314,3610.46850052009,3095.14783587515,4125.78916516503,3647.09050545347,3151.98363856152,4142.19737234543
2028-02-01,3356.49446652596,2992.20456187022,3720.7843711817,3626.00152828388,3052.38492261772,4199.61813395004,3630.09778623452,3098.00373160341,4162.19184086563,3656.30432859786,3144.57451742452,4168.0341397712
